B4L663_DROMO-284-387	dmoj_FBgn0138987
B4GWK2_DROPE-203-306	dper_FBgn0154168
Q29I74_DROPS-331-434	dpse_FBgn0079889
B4JM12_DROGR-255-358	dgri_FBgn0132013
B4MAK4_DROVI-284-387	dvir_FBgn0203116
B4N2I6_DROWI-207-310	dwil_FBgn0218119
B3MXW4_DROAN-313-416	dana_FBgn0096370
B4Q2L9_DROYA-207-310	dyak_FBgn0235144
B4I6L3_DROSE-347-450	dsec_FBgn0177734
B4R6Q5_DROSI-72-175	dsim_FBgn0188933
B3NWZ1_DROER-276-379	dere_FBgn0111346
